Designator,Mid X,Mid Y,Rotation,Layer
BALLSACK1,172.992253,-90.197076,0.0,top
C1,120.26,-108.99,0.0,top
C10,160.2925,-107.4225,270.0,top
C11,163.5425,-108.1725,270.0,top
C12,159.2925,-107.4225,270.0,top
C13,168.2925,-104.6725,0.0,top
C14,133.952638,-79.135395,90.0,top
C15,157.567768,-99.861415,135.0,top
C16,135.490802,-83.344938,0.0,top
C17,168.566205,-100.795462,0.0,top
C18,162.948404,-95.924637,90.0,top
C19,133.990801,-84.844938,180.0,top
C2,166.7925,-112.4225,180.0,top
C20,157.237341,-107.422024,270.0,top
C21,158.237341,-107.422024,270.0,top
C22,141.57,-99.18,270.0,top
C24,127.75,-116.15,90.0,top
C25,124.33,-116.19,90.0,top
C26,121.84,-112.19,0.0,top
C27,121.85,-113.21,0.0,top
C3,165.5425,-94.1725,0.0,top
C4,163.443553,-94.292124,180.0,top
C5,144.260129,-79.257163,90.0,top
C6,140.349405,-74.155002,0.0,top
C7,118.239411,-105.340589,225.0,top
C8,164.5425,-108.4225,270.0,top
C9,161.7925,-95.9225,90.0,top
D1,142.494,-95.6818,270.0,top
D2,132.668998,-73.858991,0.0,top
D3,124.90125,-119.254501,270.0,top
D4,152.55,-77.42,180.0,top
D5,146.712499,-120.39,180.0,top
D6,143.222499,-120.4,180.0,top
J2,158.89,-117.44,0.0,top
J4,134.2,-117.425,0.0,top
L1,141.42,-96.719999,90.0,top
R1,128.37,-118.32,90.0,top
R10,123.34,-116.2,270.0,top
R11,153.06374,-116.852,270.0,top
R12,164.69694,-116.81074,90.0,top
R13,121.45,-116.62,270.0,top
R14,164.0425,-95.9225,90.0,top
R15,144.548999,-81.242298,180.0,top
R16,162.442683,-107.4225,90.0,top
R17,161.442683,-107.4225,90.0,top
R18,152.550001,-75.92,0.0,top
R2,140.03,-118.24,270.0,top
R20,143.247499,-118.9,0.0,top
R22,146.7125,-118.89,0.0,top
R3,137.888,-109.676,90.0,top
R30,137.22,-100.61,90.0,top
R4,138.826,-109.674,90.0,top
R5,140.01,-97.27,180.0,top
R6,129.15,-112.79,180.0,top
R7,123.40125,-119.2545,90.0,top
R8,151.08,-116.38,180.0,top
R9,129.04,-73.85,180.0,top
RF1,146.43,-96.04653,270.0,top
S2,170.67,-117.81,0.0,top
U1,172.2421,-101.350601,0.0,top
U10,172.2521,-104.160001,0.0,top
U2,171.0425,-110.4225,180.0,top
U3,138.898299,-79.039325,180.0,top
U4,163.1425,-101.985,270.0,top
U5,129.13,-102.0,180.0,top
U6,140.3432,-103.929999,180.0,top
U7,125.96,-113.75,0.0,top
U8,119.04,-113.63,90.0,top
U9,139.12,-100.88,180.0,top
X1,165.0425,-91.6725,270.0,top
Y1,134.542278,-87.494938,270.0,top
